idx  ,flight_type  ,in_flight_no  ,origin  ,  eta  , bay  ,gate  ,reg_no  ,out_flight_no  ,dest  ,  etd  ,ac_type  ,      pref  
 99  ,    ft.Full  ,       KQ625  ,   MBA  ,06:15  ,  2B  ,   1  ,   FFE  ,        KQ640  , MYD  ,08:55  ,    E90  ,            
100  ,    ft.Full  ,       KQ641  ,   MYD  ,11:45  ,  2C  ,   2  ,   FFE  ,        KQ606  , MBA  ,12:55  ,    E90  ,            
101  ,    ft.Full  ,       KQ651  ,   KIS  ,09:10  ,  3B  ,   2  ,   KYP  ,        KQ654  , KIS  ,09:55  ,    E90  ,            
102  ,    ft.Full  ,       KQ655  ,   KIS  ,12:15  ,  4R  ,   1  ,   KYP  ,        KQ656  , KIS  ,13:05  ,    E90  ,            
103  ,    ft.Full  ,       KQ657  ,   KIS  ,15:25  ,  4L  ,   1  ,   KYP  ,        KQ670  , KIS  ,17:30  ,    E90  ,            
104  ,     ft.Arr  ,       KQ671  ,   KIS  ,19:50  ,SPV2  ,      ,   KYD  ,               , DAR  ,21:14  ,   B738  ,            
105  ,    ft.Park  ,              ,   KIS  ,21:20  ,  16  ,      ,   KYD  ,               , DAR  ,06:09  ,   B738  ,            
106  ,     ft.Dep  ,              ,   KIS  ,06:15  ,  16  ,  16  ,   KYD  ,        KQ480  , DAR  ,07:45  ,   B738  ,            
107  ,    ft.Full  ,       KQ671  ,   KIS  ,19:50  ,  3B  ,      ,   KYP  ,               ,      ,23:59  ,    E90  ,            
108  ,     ft.Arr  ,       KQ704  ,   LUN  ,20:30  , J3A  ,      ,   FFA  ,               , SEZ  ,21:54  ,    E90  ,            
109  ,    ft.Park  ,              ,   LUN  ,22:00  , J3A  ,      ,   FFA  ,               , SEZ  ,09:54  ,    E90  ,            
110  ,     ft.Dep  ,              ,   LUN  ,10:00  , J3A  ,  22  ,   FFA  ,        KQ250  , SEZ  ,11:30  ,    E90  ,            
111  ,    ft.Full  ,       KQ704  ,   LUN  ,20:30  ,  18  ,  18  ,   CYB  ,        KQ764  , JNB  ,21:50  ,   B738  ,            
112  ,    ft.Full  ,       KQ717  ,   GBE  ,06:50  ,  H5  ,   8  ,   FFG  ,        KQ730  , LLW  ,08:15  ,    E90  ,            
113  ,    ft.Full  ,       KQ720  ,   HRE  ,06:50  ,  H4  ,   1  ,   KYR  ,        KQ604  , MBA  ,10:15  ,    E90  ,            
114  ,    ft.Full  ,       KQ731  ,   LLW  ,13:30  ,  18  ,  18  ,   FFG  ,        KQ484  , DAR  ,15:55  ,    E90  ,            
115  ,    ft.Full  ,       KQ749  ,   APL  ,18:05  ,  18  ,  18  ,   KYT  ,        KQ436  , JRO  ,19:20  ,    E90  ,            
116  ,     ft.Arr  ,       KQ752  ,   BLZ  ,19:45  ,  13  ,      ,   KQG  ,               , EBB  ,21:09  ,   B737  ,            
117  ,    ft.Park  ,              ,   BLZ  ,21:15  ,  13  ,      ,   KQG  ,               , EBB  ,06:24  ,   B737  ,            
118  ,     ft.Dep  ,              ,   BLZ  ,06:30  ,  13  ,  13  ,   KQG  ,        KQ410  , EBB  ,08:00  ,   B737  ,            
119  ,    ft.Full  ,       KQ761  ,   JNB  ,17:40  ,  12  ,  12  ,   CYA  ,        KQ204  , BOM  ,21:25  ,   B738  ,            
120  ,    ft.Full  ,       KQ763  ,   JNB  ,21:25  ,  13  ,  13  ,   CYC  ,        KQ304  , DXB  ,22:30  ,   B738  ,            
121  ,    ft.Full  ,       KQ765  ,   JNB  ,06:55  ,   8  ,   1  ,   CYC  ,        KQ602  , MBA  ,08:30  ,   B738  ,            
122  ,    ft.Full  ,      KQ8603  ,   MBA  ,12:25  ,  3C  ,   2  ,   KQB  ,       KQ8606  , MBA  ,14:00  ,   B73J  ,            
123  ,    ft.Full  ,      KQ8607  ,   MBA  ,16:45  ,  4R  ,   1  ,   KQB  ,       KQ8608  , MBA  ,19:30  ,   B737  ,            
124  ,     ft.Arr  ,      KQ8609  ,   MBA  ,22:15  ,  J8  ,      ,   KQB  ,               , MBA  ,23:39  ,   B737  ,            
125  ,    ft.Park  ,              ,   MBA  ,23:45  ,  2C  ,      ,   KQB  ,               , MBA  ,08:04  ,   B737  ,            
126  ,     ft.Dep  ,              ,   MBA  ,08:10  ,  2C  ,   2  ,   KQB  ,       KQ8602  , MBA  ,09:40  ,   B737  ,            
127  ,    ft.Full  ,      KQ8609  ,   MBA  ,22:15  ,  4L  ,      ,   KQB  ,               ,      ,23:59  ,   B737  ,            
128  ,    ft.Full  ,      KQ8651  ,   KIS  ,08:30  ,  3C  ,   9  ,   QUE  ,       KQ8690  , UKU  ,09:10  ,    AT7  ,            
129  ,     ft.Arr  ,      KQ8655  ,   KIS  ,20:00  ,  2A  ,      ,   QUE  ,               , KIS  ,21:24  ,    AT7  ,            
130  ,    ft.Park  ,              ,   KIS  ,21:30  ,  2A  ,      ,   QUE  ,               , KIS  ,04:54  ,    AT7  ,            
131  ,     ft.Dep  ,              ,   KIS  ,05:00  ,  2A  ,   2  ,   QUE  ,       KQ8650  , KIS  ,06:30  ,    AT7  ,            
132  ,    ft.Full  ,      KQ8655  ,   KIS  ,20:00  ,  2A  ,      ,   QHW  ,               ,      ,23:59  ,    AT7  ,            
133  ,    ft.Full  ,      KQ8661  ,   EDL  ,09:00  ,  3A  ,   2  ,   QHW  ,       KQ8680  , LAU  ,09:40  ,    AT7  ,            
134  ,     ft.Arr  ,      KQ8665  ,   EDL  ,19:10  ,  3B  ,      ,   QHW  ,               , EDL  ,20:34  ,    AT7  ,            
135  ,    ft.Park  ,              ,   EDL  ,20:40  ,  3B  ,      ,   QHW  ,               , EDL  ,05:24  ,    AT7  ,            
136  ,     ft.Dep  ,              ,   EDL  ,05:30  ,  3B  ,   2  ,   QHW  ,       KQ8660  , EDL  ,07:00  ,    AT7  ,            
137  ,    ft.Full  ,      KQ8665  ,   EDL  ,19:10  ,  3A  ,      ,   QUE  ,               ,      ,23:59  ,    AT7  ,            
138  ,    ft.Full  ,      KQ8681  ,   MYD  ,13:30  ,  2A  ,   2  ,   QHW  ,       KQ8654  , KIS  ,18:00  ,    AT7  ,            
139  ,    ft.Full  ,      KQ8691  ,   UKU  ,11:30  ,  3A  ,  23  ,   QUE  ,       KQ8692  , UKU  ,14:10  ,    AT7  ,            
140  ,    ft.Full  ,      KQ8693  ,   UKU  ,16:30  ,  3A  ,   2  ,   QUE  ,       KQ8664  , EDL  ,17:10  ,    AT7  ,            
141  ,     ft.Arr  ,       KQ887  ,   BKK  ,06:45  ,  17  ,      ,   KZE  ,               , BKK  ,08:09  ,   B788  ,            
142  ,    ft.Park  ,              ,   BKK  ,08:15  ,  17  ,      ,   KZE  ,               , BKK  ,21:34  ,   B788  ,            
143  ,     ft.Dep  ,              ,   BKK  ,21:40  ,  17  ,  17  ,   KZE  ,        KQ886  , BKK  ,23:10  ,   B788  ,            
144  ,    ft.Full  ,       LX294  ,   ZRH  ,18:40  ,   5  ,   5  ,        ,        LX295  , DAR  ,19:35  ,   A330  ,DAR, (5), (5)  
145  ,    ft.Full  ,       MK534  ,   MRU  ,11:50  ,  4L  ,   4  ,        ,        MK535  , MRU  ,13:05  ,   A332  ,            
146  ,    ft.Full  ,       MS849  ,   CAI  ,07:10  ,   7  ,   7  ,        ,        MS850  , CAI  ,08:10  ,   A320  ,CAI, (7), (7)  
147  ,    ft.Full  ,       PW715  ,   ZNZ  ,21:15  ,  3C  ,      ,   PWG  ,               ,      ,23:59  ,    AT7  ,            
148  ,    ft.Full  ,       PW723  ,   JRO  ,07:00  ,  H1  ,  14  ,   PWB  ,        PW722  , JRO  ,08:30  ,    AT7  ,            
149  ,     ft.Arr  ,       PW725  ,   JRO  ,19:20  ,  3A  ,      ,   PWG  ,               , ZNZ  ,20:44  ,    AT7  ,            
150  ,    ft.Park  ,              ,   JRO  ,20:50  ,  3A  ,      ,   PWG  ,               , ZNZ  ,06:34  ,    AT7  ,            
151  ,     ft.Dep  ,              ,   JRO  ,06:40  ,  3A  ,  17  ,   PWG  ,        PW710  , ZNZ  ,08:10  ,    AT7  ,            
152  ,    ft.Full  ,       PW725  ,   JRO  ,19:20  , J3A  ,      ,   PWB  ,               ,      ,23:59  ,    AT7  ,            
153  ,    ft.Full  ,       PW727  ,   JRO  ,16:00  ,  2C  ,  12  ,   PWB  ,        PW726  , JRO  ,16:50  ,    AT7  ,            
154  ,    ft.Full  ,      QR1337  ,   DOH  ,09:30  ,   5  ,   5  ,        ,       QR1338  , DOH  ,12:35  ,   A320  ,DOH, (5), (5)  
155  ,    ft.Full  ,      QR1339  ,   DOH  ,13:10  ,   5  ,   5  ,        ,       QR1340  , DOH  ,17:35  ,   A320  ,DOH, (5), (5)  
156  ,    ft.Full  ,       SA184  ,   JNB  ,15:15  ,  11  ,  10  ,        ,        SA185  , JNB  ,16:05  ,   A320  ,JNB, (11), (10)  
157  ,    ft.Full  ,       SN463  ,   BRU  ,21:45  ,   5  ,   5  ,        ,        SN463  , BRU  ,22:45  ,   A332  ,BRU, (5), (5)  
158  ,    ft.Full  ,       SV431  ,   JED  ,11:32  ,   8  ,   8  ,        ,        SV430  , JED  ,13:10  ,   A320  ,JED, (8), (8)  
159  ,    ft.Full  ,      TK6510  ,   FIH  ,18:30  ,  4L  ,   4  ,        ,       TK6492  , IST  ,21:00  ,   A330  ,IST, (4L;4R), (4)  
160  ,    ft.Full  ,      TM4462  ,   MPM  ,14:25  ,  4R  ,   4  ,        ,       TM4463  , MPM  ,15:45  ,    E90  ,            
161  ,    ft.Full  ,       WB402  ,   KGL  ,15:40  ,   7  ,   7  , 9XRWH  ,        WB403  , KGL  ,16:30  ,   CRJ9  ,            
162  ,    ft.Full  ,       WB450  ,   EBB  ,10:40  ,  4R  ,  10  , 9XRWI  ,        WB450  , KGL  ,11:25  ,   CRJ9  ,            
163  ,    ft.Full  ,       WB460  ,   KGL  ,20:15  ,  4R  ,   9  , 9XRWH  ,        WB460  , EBB  ,21:35  ,   CRJ9  ,            
164  ,    ft.Full  ,              ,        ,06:50  ,  J5  ,  22  ,        ,        KQ210  , BOM  ,07:50  ,   B788  ,            
165  ,    ft.Full  ,              ,        ,22:25  ,  18  , 20B  ,        ,        KQ102  , LHR  ,23:25  ,   B788  ,LHR, (18), (20B)  
166  ,     ft.Arr  ,       CZ633  ,   CAN  ,07:00  ,  11  ,      ,        ,               , CAN  ,08:24  ,   A330  ,CAN, (19), (19)  
167  ,    ft.Park  ,              ,   CAN  ,08:30  ,  11  ,      ,        ,               , CAN  ,11:59  ,   A330  ,CAN, (19), (19)  
168  ,     ft.Dep  ,              ,   CAN  ,12:05  ,  19  ,  19  ,        ,        CZ634  , CAN  ,13:35  ,   A330  ,CAN, (19), (19)  
169  ,    ft.Full  ,       EK721  ,   DXB  ,19:00  ,   7  ,   7  ,        ,        EK722  , DUB  ,22:50  ,   B773  ,            
170  ,     ft.Arr  ,       SA180  ,   JNB  ,22:40  ,   5  ,      ,        ,               , JNB  ,00:04  ,   A320  ,JNB, (5), (5)  
171  ,    ft.Park  ,              ,   JNB  ,00:10  ,   5  ,      ,        ,               , JNB  ,06:54  ,   A320  ,JNB, (5), (5)  
172  ,     ft.Dep  ,              ,   JNB  ,07:00  ,   5  ,   5  ,        ,        SA181  , JNB  ,08:30  ,   A320  ,JNB, (5), (5)  
173  ,    ft.Full  ,       TK607  ,   IST  ,07:25  ,  4L  ,   4  ,        ,        TK608  , IST  ,10:35  ,   A330  ,IST, (4L;4R), (4)  
